ND,SD,NE,KS,OK,MN,IA,MO,AR,LA,MS,WI,IL,MI,IN,OH,KY,TN,AL,FL,GA,SC,NC,WV,MD,DE,PA,NJ,NY,NH,CT,RI,MA,VT,ME
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.79225,1.8619999999999999,1.1897,1.3757857142857142,1.6909999999999998,2.052363636363636,1.532941176470588,1.5724074074074073,2.0046842105263156,8.223833333333335,2.516,1.9642857142857142,1.5424,2.0060000000000002,2.348409090909091,2.30925,1.7923181818181826,1.9224285714285718,2.4500000000000006,2.4939166666666663,2.6039999999999996,2.99688,2.513933333333333,2.317783783783784,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
