ND,SD,NE,KS,OK,MN,IA,MO,AR,LA,MS,WI,IL,MI,IN,OH,KY,TN,AL,FL,GA,SC,NC,WV,MD,DE,PA,NJ,NY,NH,CT,RI,MA,VT,ME
1.905,2.1719999999999997,1.2502380952380954,1.7632777777777777,2.197545454545454,2.3899999999999992,1.7485714285714287,1.8481724137931037,2.278,2.3538888888888887,3.9410000000000003,2.263029411764706,1.7111666666666667,2.2154799999999994,2.8580714285714284,2.483166666666667,2.4279324324324314,2.330125,2.3498125,3.637,3.205181818181818,3.757818181818182,3.205857142857143,2.4293225806451613,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.905,2.1719999999999997,1.2502380952380954,1.7632777777777777,2.197545454545454,2.3899999999999992,1.7485714285714287,1.8481724137931037,2.278,2.3538888888888887,3.9410000000000003,2.263029411764706,1.7111666666666667,2.2154799999999994,2.8580714285714284,2.483166666666667,2.4279324324324314,2.330125,2.3498125,3.637,3.205181818181818,3.757818181818182,3.205857142857143,2.4293225806451613,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.905,2.1719999999999997,1.2502380952380954,1.7632777777777777,2.197545454545454,2.3899999999999992,1.7485714285714287,1.8481724137931037,2.278,2.3538888888888887,3.9410000000000003,2.263029411764706,1.7111666666666667,2.2154799999999994,2.8580714285714284,2.483166666666667,2.4279324324324314,2.330125,2.3498125,3.637,3.205181818181818,3.757818181818182,3.205857142857143,2.4293225806451613,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.905,2.1719999999999997,1.2502380952380954,1.7632777777777777,2.197545454545454,2.3899999999999992,1.7485714285714287,1.8481724137931037,2.278,2.3538888888888887,3.9410000000000003,2.263029411764706,1.7111666666666667,2.2154799999999994,2.8580714285714284,2.483166666666667,2.4279324324324314,2.330125,2.3498125,3.637,3.205181818181818,3.757818181818182,3.205857142857143,2.4293225806451613,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.905,2.1719999999999997,1.2502380952380954,1.7632777777777777,2.197545454545454,2.3899999999999992,1.7485714285714287,1.8481724137931037,2.278,2.3538888888888887,3.9410000000000003,2.263029411764706,1.7111666666666667,2.2154799999999994,2.8580714285714284,2.483166666666667,2.4279324324324314,2.330125,2.3498125,3.637,3.205181818181818,3.757818181818182,3.205857142857143,2.4293225806451613,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.905,2.1719999999999997,1.2502380952380954,1.7632777777777777,2.197545454545454,2.3899999999999992,1.7485714285714287,1.8481724137931037,2.278,2.3538888888888887,3.9410000000000003,2.263029411764706,1.7111666666666667,2.2154799999999994,2.8580714285714284,2.483166666666667,2.4279324324324314,2.330125,2.3498125,3.637,3.205181818181818,3.757818181818182,3.205857142857143,2.4293225806451613,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.905,2.1719999999999997,1.2502380952380954,1.7632777777777777,2.197545454545454,2.3899999999999992,1.7485714285714287,1.8481724137931037,2.278,2.3538888888888887,3.9410000000000003,2.263029411764706,1.7111666666666667,2.2154799999999994,2.8580714285714284,2.483166666666667,2.4279324324324314,2.330125,2.3498125,3.637,3.205181818181818,3.757818181818182,3.205857142857143,2.4293225806451613,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.905,2.1719999999999997,1.2502380952380954,1.7632777777777777,2.197545454545454,2.3899999999999992,1.7485714285714287,1.8481724137931037,2.278,2.3538888888888887,3.9410000000000003,2.263029411764706,1.7111666666666667,2.2154799999999994,2.8580714285714284,2.483166666666667,2.4279324324324314,2.330125,2.3498125,3.637,3.205181818181818,3.757818181818182,3.205857142857143,2.4293225806451613,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.905,2.1719999999999997,1.2502380952380954,1.7632777777777777,2.197545454545454,2.3899999999999992,1.7485714285714287,1.8481724137931037,2.278,2.3538888888888887,3.9410000000000003,2.263029411764706,1.7111666666666667,2.2154799999999994,2.8580714285714284,2.483166666666667,2.4279324324324314,2.330125,2.3498125,3.637,3.205181818181818,3.757818181818182,3.205857142857143,2.4293225806451613,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
1.905,2.1719999999999997,1.2502380952380954,1.7632777777777777,2.197545454545454,2.3899999999999992,1.7485714285714287,1.8481724137931037,2.278,2.3538888888888887,3.9410000000000003,2.263029411764706,1.7111666666666667,2.2154799999999994,2.8580714285714284,2.483166666666667,2.4279324324324314,2.330125,2.3498125,3.637,3.205181818181818,3.757818181818182,3.205857142857143,2.4293225806451613,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
