,"Southern Company Services, Inc. - Trans",ISO New England,"Midcontinent Independent System Operator, Inc.","PJM Interconnection, LLC","Alcoa Power Generating, Inc. - Yadkin Division","Associated Electric Cooperative, Inc.",City of Homestead,City of Tallahassee,Duke Energy Carolinas,"Duke Energy Florida, Inc.",Duke Energy Progress East,Duke Energy Progress West,"Electric Energy, Inc.",Florida Municipal Power Pool,Florida Power & Light Co.,Gainesville Regional Utilities,"Gridforce Energy Management, LLC",JEA,Louisville Gas and Electric Company and Kentucky Utilities Company,Utilities Commission of New Smyrna Beach,New York Independent System Operator,NorthWestern Corporation,Ohio Valley Electric Corporation,PowerSouth Energy Cooperative,Public Service Company of New Mexico,Seminole Electric Cooperative,"Dominion Energy South Carolina, Inc.",South Carolina Public Service Authority,Southeastern Power Administration,Southwest Power Pool,Southwestern Power Administration,Tampa Electric Company,Tennessee Valley Authority,Western Area Power Administration - Rocky Mountain Region,Western Area Power Administration - Upper Great Plains West,New Brunswick System Operator,"Electric Reliability Council of Texas, Inc."
0,3.71,7.704310972551103,3.814140646094785,3.897680446885496,4.37539380420968,4.168318643686536,4.416405281260434,4.0667711235275235,4.317533524569091,4.246527779014509,4.452230950730739,4.270783822901881,4.2274580998821385,4.331885736776266,4.344428410399505,4.2232794727643785,4.385997261923687,4.096884241861961,4.272539386612449,4.305643398681038,5.55330544388309,4.536996705141924,4.260207380391104,3.9143692184667653,4.4231907019239465,4.2411449651013475,4.283867529904657,4.3303091930129165,3.968337003893409,4.2806744668057695,4.215442950305796,4.298664670750615,4.168517332443349,4.4249887402891215,4.519886121966946,6.387063769572424,4.350746407016593
1,3.71,7.704310972551103,3.814140646094785,3.897680446885496,4.37539380420968,4.168318643686536,4.416405281260434,4.0667711235275235,4.317533524569091,4.246527779014509,4.452230950730739,4.270783822901881,4.2274580998821385,4.331885736776266,4.344428410399505,4.2232794727643785,4.385997261923687,4.096884241861961,4.272539386612449,4.305643398681038,5.55330544388309,4.536996705141924,4.260207380391104,3.9143692184667653,4.4231907019239465,4.2411449651013475,4.283867529904657,4.3303091930129165,3.968337003893409,4.2806744668057695,4.215442950305796,4.298664670750615,4.168517332443349,4.4249887402891215,4.519886121966946,6.387063769572424,4.350746407016593
2,3.41,6.83723593366189,3.5069072065568774,3.4473473145047278,3.9306233289356314,3.7865133691252226,3.987955128528551,3.698769919884709,3.885275694163864,3.8459980017208624,3.9991695726124927,3.8471689509643556,3.825920471858022,3.916669562444203,3.927327794714408,3.8264123302977024,3.96649300035908,3.723083727533509,3.84946011975971,3.8942832618088286,4.954483658973729,4.094371049318056,3.8106639852146773,3.5750833649226283,3.997751089855689,3.8415274252470177,3.8682936587311785,3.904654356786943,3.6187311619758233,3.880897160372332,3.8199106740166853,3.8894668668292782,3.7763001251121384,4.0003862222564575,4.080121684876749,5.688715920108033,3.935802680998858
3,3.42,6.866138434958196,3.5171483212081407,3.4623584189174195,3.945449011444766,3.7992402116105994,4.00223680028628,3.7110366266728025,3.899684288510705,3.8593489942973176,4.014271618549767,3.861289446695606,3.8393050594588254,3.930510101588604,3.9412311485705778,3.8396412350465914,3.9804764757445663,3.7355437446777904,3.863562761988134,3.907995266371235,4.974444385137374,4.109125237845518,3.825648765053891,3.5863928933740996,4.011932410257964,3.854848009908829,3.8821461211036272,3.918842851327809,3.630384690039743,3.8942230705867793,3.833095083226322,3.903106793626656,3.789374032023178,4.014539639524212,4.094780499446421,5.711994181756846,3.9496341385327813
4,3.42,6.866138434958196,3.5171483212081407,3.4623584189174195,3.945449011444766,3.7992402116105994,4.00223680028628,3.7110366266728025,3.899684288510705,3.8593489942973176,4.014271618549767,3.861289446695606,3.8393050594588254,3.930510101588604,3.9412311485705778,3.8396412350465914,3.9804764757445663,3.7355437446777904,3.863562761988134,3.907995266371235,4.974444385137374,4.109125237845518,3.825648765053891,3.5863928933740996,4.011932410257964,3.854848009908829,3.8821461211036272,3.918842851327809,3.630384690039743,3.8942230705867793,3.833095083226322,3.903106793626656,3.789374032023178,4.014539639524212,4.094780499446421,5.711994181756846,3.9496341385327813
5,3.38,6.750528429772968,3.476183862603086,3.40231400126665,3.8861462814082266,3.748332841669091,3.945110113255362,3.661969799520427,3.8420499111233406,3.805945023991497,3.953863434800668,3.804807463770602,3.7857667090556095,3.875147945010996,3.8856177331458985,3.7867256160510347,3.9245425742026185,3.685703676100663,3.807152193074435,3.8531472481216067,4.894601480482793,4.050108483735669,3.765709645697034,3.541154779568214,3.9552071286488633,3.8015656712615846,3.82673627161383,3.8620888731643452,3.5837705777840645,3.840919429728988,3.7803574463877743,3.8485470864371445,3.737078404379017,3.9579259704531897,4.036145241167728,5.618881135161594,3.894308308397084
6,3.3,6.519308419402509,3.3942549453929773,3.282225165965112,3.7675408213351465,3.6465181017860733,3.8308567391935266,3.5638361452156757,3.726781156348613,3.699137083379858,3.833047067302469,3.6918434979205954,3.678690008249178,3.7644236318557787,3.7743909022965383,3.6808943780599206,3.812674771118723,3.5860235389464092,3.694331055247038,3.7434512116223506,4.734915671173629,3.9320749755159703,3.64583140698332,3.4506785519564445,3.841756565430661,3.695000993967096,3.715916572634235,3.748580916837419,3.4905423532727085,3.7343121480134043,3.674882172710677,3.739427672058121,3.6324871490906934,3.844698632311146,3.918874724610342,5.432655041971088,3.783656648125687
7,3.22,6.288088409032054,3.3123260281828686,3.1621363306635737,3.648935361262067,3.544703361903056,3.716603365131691,3.4657024909109255,3.6115124015738864,3.59232914276822,3.7122306998042705,3.57887953207059,3.571613307442747,3.6536993187005615,3.6631640714471794,3.5750631400688078,3.7008069680348283,3.4863434017921557,3.581509917419641,3.633755175123095,4.575229861864466,3.814041467296273,3.5259531682696066,3.3602023243446753,3.7283060022124594,3.5884363166726088,3.605096873654641,3.6350729605104926,3.3973141287613524,3.627704866297821,3.569406899033581,3.630308257679099,3.5278958938023712,3.731471294169102,3.8016042080529564,5.246428948780585,3.6730049878542923
8,3.14,6.056868398661595,3.23039711097276,3.042047495362036,3.5303299011889875,3.442888622020039,3.6023499910698558,3.367568836606175,3.496243646799159,3.4855212021565802,3.591414332306071,3.465915566220583,3.4645366066363157,3.542975005545345,3.5519372405978196,3.469231902077694,3.5889391649509323,3.3866632646379022,3.4686887795922443,3.524059138623839,4.415544052555302,3.6960079590765744,3.406074929555893,3.2697260967329047,3.6148554389942578,3.481871639378121,3.494277174675047,3.521565004183566,3.3040859042499964,3.521097584582237,3.4639316253564854,3.521188843300076,3.4233046385140478,3.618243956027058,3.68433369149557,5.060202855590081,3.562353327582896
9,3.21,6.259185907735746,3.302084913531605,3.147125226250881,3.6341096787529317,3.531976519417679,3.7023216933739613,3.4534357841228314,3.597103807227045,3.578978150191764,3.697128653866995,3.5647590363393378,3.558228719841943,3.6398587795561594,3.6492607175910092,3.561834235319918,3.6868234926493413,3.473883384647874,3.567407275191216,3.6200431705606877,4.55526913570082,3.79928727876881,3.510968388430392,3.3488927958932035,3.7141246818101843,3.5751157320107976,3.5912444112821915,3.6208844659696267,3.385660600697433,3.614378956083373,3.556222489823944,3.616668330881721,3.51482198689133,3.7173178769013457,3.786945393483283,5.223150687131772,3.659173530320367
