,"Southern Company Services, Inc. - Trans",ISO New England,"Midcontinent Independent System Operator, Inc.","PJM Interconnection, LLC","Alcoa Power Generating, Inc. - Yadkin Division","Associated Electric Cooperative, Inc.",City of Homestead,City of Tallahassee,Duke Energy Carolinas,"Duke Energy Florida, Inc.",Duke Energy Progress East,Duke Energy Progress West,"Electric Energy, Inc.",Florida Municipal Power Pool,Florida Power & Light Co.,Gainesville Regional Utilities,"Gridforce Energy Management, LLC",JEA,Louisville Gas and Electric Company and Kentucky Utilities Company,Utilities Commission of New Smyrna Beach,New York Independent System Operator,NorthWestern Corporation,Ohio Valley Electric Corporation,PowerSouth Energy Cooperative,Public Service Company of New Mexico,Seminole Electric Cooperative,"Dominion Energy South Carolina, Inc.",South Carolina Public Service Authority,Southeastern Power Administration,Southwest Power Pool,Southwestern Power Administration,Tampa Electric Company,Tennessee Valley Authority,Western Area Power Administration - Rocky Mountain Region,Western Area Power Administration - Upper Great Plains West,New Brunswick System Operator,"Electric Reliability Council of Texas, Inc."
0,3.25,6.374795912920974,3.3430493721366594,3.20716964390165,3.6934124087894715,3.582883889359188,3.7594483804048795,3.502502611275207,3.6547381846144082,3.632382120497584,3.7575368376160947,3.6212410192643416,3.6117670702451585,3.695220936133768,3.704874133015689,3.614749854315475,3.7427573941912886,3.5237234532250006,3.6238178441049147,3.6748911888103155,4.635112040355402,3.8583040328786593,3.570907507787249,3.394130909699088,3.770849963419285,3.6283980706580414,3.6466542607719887,3.6776384441330894,3.432274712953111,3.667682596941165,3.6089601266624927,3.6712280380712325,3.567117614535492,3.773931545972368,3.845580651761976,5.316263733727023,3.7144993604560654
1,3.25,6.374795912920974,3.3430493721366594,3.20716964390165,3.6934124087894715,3.582883889359188,3.7594483804048795,3.502502611275207,3.6547381846144082,3.632382120497584,3.7575368376160947,3.6212410192643416,3.6117670702451585,3.695220936133768,3.704874133015689,3.614749854315475,3.7427573941912886,3.5237234532250006,3.6238178441049147,3.6748911888103155,4.635112040355402,3.8583040328786593,3.570907507787249,3.394130909699088,3.770849963419285,3.6283980706580414,3.6466542607719887,3.6776384441330894,3.432274712953111,3.667682596941165,3.6089601266624927,3.6712280380712325,3.567117614535492,3.773931545972368,3.845580651761976,5.316263733727023,3.7144993604560654
2,2.72,4.842963344216694,2.8002702956196885,2.411581110028959,2.907651235805319,2.908361237634198,3.0025197772452197,2.8523671515062334,2.891082684231839,2.924779513945474,2.9571284029405263,2.8728547455080466,2.902383927402551,2.9616723614804545,2.9679963786386834,2.913617902624348,3.0016331987604814,2.863342544578069,2.8763778059984086,2.9481549470027444,3.577193553682195,3.076332040923159,2.7767141763088943,2.7947259017711135,3.019239982098697,2.9224070835820584,2.912473755032176,2.9256482334672027,2.8146377255653765,2.961409355575424,2.9101864385517286,2.948311917810205,2.8742005482503528,3.0238004307813258,3.0686634795692926,4.082515866339931,2.981432111158066
3,2.8,5.074183354587151,2.882199212829797,2.531669945330497,3.0262566958783976,3.0101759775172154,3.1167731513070547,2.9505008058109836,3.006351439006566,3.031587454557113,3.0779447704387253,2.9858187113580534,3.009460628208982,3.0723966746356712,3.079223209488042,3.0194491406154613,3.1135010018443765,2.9630226817323226,2.9891989438258055,3.057850983502,3.7368793629913584,3.1943655491428564,2.896592415022608,2.8852021293828827,3.132690545316898,3.028971760876547,3.02329345401177,3.039156189794129,2.907865950076732,3.0680166372910076,3.015661712228825,3.057431332189228,2.978791803538675,3.137027768923369,3.1859339961266784,4.268741959530436,3.092083771429462
4,2.78,5.016378351994537,2.8617169835272698,2.5016477365051126,2.996605330860128,2.984722292546461,3.088209807791596,2.9259673922347957,2.9775342503128845,3.0048854694042033,3.0477406785641756,2.9575777198955517,2.9826914530073743,3.044715596346867,3.0514165017757025,2.992991331117683,3.0855340510734033,2.938102647443759,2.960993659368956,3.030426974377186,3.6969579106640675,3.1648571720879324,2.86662285534418,2.86258307247994,3.104327904512348,3.0023305915529246,2.995588529266872,3.0107792007123972,2.8845588939488933,3.041364816862112,2.989292893809551,3.0301514785944725,2.952643989716594,3.108720934387858,3.1566163669873317,4.2221854362328095,3.064420856361613
5,2.76,4.958573349401924,2.8412347542247427,2.4716255276797283,2.966953965841858,2.959268607575707,3.059646464276137,2.9014339786586083,2.9487170616192033,2.9781834842512938,3.0175365866896264,2.9293367284330505,2.955922277805767,3.017034518058063,3.0236097940633626,2.9665335216199047,3.057567100302429,2.913182613155196,2.932788374912107,3.0030029652523726,3.657036458336777,3.135348795033008,2.8366532956657515,2.839964015576998,3.075965263707798,2.9756894222293027,2.9678836045219734,2.9824022116306654,2.861251837821054,3.0147129964332158,2.9629240753902772,3.0028716249997167,2.9264961758945134,3.0804140998523475,3.127298737847986,4.175628912935185,3.036757941293764
6,2.74,4.9007683468093095,2.820752524922216,2.441603318854344,2.937302600823589,2.933814922604953,3.0310831207606785,2.876900565082421,2.9198998729255217,2.9514814990983846,2.987332494815077,2.9010957369705492,2.9291531026041597,2.9893534397692587,2.995803086351023,2.940075712122127,3.029600149531456,2.8882625788666325,2.904583090455258,2.975578956127559,3.6171150060094868,3.105840417978084,2.806683735987323,2.817344958674056,3.047602622903248,2.949048252905681,2.940178679777075,2.9540252225489345,2.837944781693216,2.9880611760043205,2.9365552569710034,2.975591771404962,2.9003483620724335,3.0521072653168373,3.0979811087086397,4.1290723896375585,3.0090950262259155
7,2.89,5.334305866253916,2.97436924469117,2.666769885044728,3.159687838460613,3.1247175598856103,3.24530819712662,3.060901166903829,3.1360287881281352,3.1517463877452077,3.2138631838741993,3.112903172939311,3.129921916616218,3.196961526935291,3.2043533941935722,3.1385092833554644,3.23935228031376,3.0751628360308585,3.116122723881628,3.1812590245636634,3.916525898464167,3.3271532458900177,3.0314554335755366,2.986987885446124,3.2603224289373762,3.1488570228328454,3.1479656153638143,3.1668526406619213,3.0127477026520086,3.187949829221039,3.134321395115559,3.1801906733656287,3.0964569657380387,3.2644085243331697,3.3178633272537383,4.478246314369754,3.2165668892347825
8,2.92,5.421013370142837,3.00509258864496,2.7118031982828046,3.204164885988017,3.162898087341741,3.2881532123998074,3.0977012872681096,3.179254571168658,3.191799365474572,3.2591693216860236,3.1552646601330636,3.170075679418629,3.2384831443684967,3.246063455762081,3.1781959976021317,3.28130270647022,3.1125428874637033,3.1584306505669013,3.222395038250884,3.976408076955103,3.371415811472404,3.0764097730931788,3.0209164708005374,3.3028663901442012,3.1888187768182785,3.189523002481162,3.209418124284518,3.0477082868437666,3.2279275598643826,3.17387462274447,3.2211104537577624,3.1356786864711594,3.3068687761364357,3.3618397709627574,4.5480810993161915,3.258061261836556
9,2.95,5.507720874031759,3.0358159325987515,2.756836511520882,3.248641933515423,3.201078614797873,3.330998227672996,3.1345014076323916,3.2224803542091807,3.231852343203937,3.3044754594978483,3.1976261473268166,3.210229442221041,3.2800047618017034,3.2877735173305913,3.2178827118488,3.3232531326266814,3.149922938896549,3.2007385772521757,3.2635310519381058,4.0362902554460405,3.415678377054791,3.1213641126108223,3.0548450561549516,3.3454103513510276,3.2287805308037116,3.2310803895985103,3.2519836079071163,3.0826688710355254,3.2679052905077266,3.213427850373381,3.262030234149896,3.174900407204281,3.349329027939703,3.405816214671778,4.617915884262631,3.29955563443833
10,2.95,5.507720874031759,3.0358159325987515,2.756836511520882,3.248641933515423,3.201078614797873,3.330998227672996,3.1345014076323916,3.2224803542091807,3.231852343203937,3.3044754594978483,3.1976261473268166,3.210229442221041,3.2800047618017034,3.2877735173305913,3.2178827118488,3.3232531326266814,3.149922938896549,3.2007385772521757,3.2635310519381058,4.0362902554460405,3.415678377054791,3.1213641126108223,3.0548450561549516,3.3454103513510276,3.2287805308037116,3.2310803895985103,3.2519836079071163,3.0826688710355254,3.2679052905077266,3.213427850373381,3.262030234149896,3.174900407204281,3.349329027939703,3.405816214671778,4.617915884262631,3.29955563443833
