,"Southern Company Services, Inc. - Trans",ISO New England,"Midcontinent Independent System Operator, Inc.","PJM Interconnection, LLC","Alcoa Power Generating, Inc. - Yadkin Division","Associated Electric Cooperative, Inc.",City of Homestead,City of Tallahassee,Duke Energy Carolinas,"Duke Energy Florida, Inc.",Duke Energy Progress East,Duke Energy Progress West,"Electric Energy, Inc.",Florida Municipal Power Pool,Florida Power & Light Co.,Gainesville Regional Utilities,"Gridforce Energy Management, LLC",JEA,Louisville Gas and Electric Company and Kentucky Utilities Company,Utilities Commission of New Smyrna Beach,New York Independent System Operator,NorthWestern Corporation,Ohio Valley Electric Corporation,PowerSouth Energy Cooperative,Public Service Company of New Mexico,Seminole Electric Cooperative,"Dominion Energy South Carolina, Inc.",South Carolina Public Service Authority,Southeastern Power Administration,Southwest Power Pool,Southwestern Power Administration,Tampa Electric Company,Tennessee Valley Authority,Western Area Power Administration - Rocky Mountain Region,Western Area Power Administration - Upper Great Plains West,New Brunswick System Operator,"Electric Reliability Council of Texas, Inc."
0,4.965,11.331574885237654,5.099400534828368,5.781574050678378,6.236016959106117,5.765537375601371,6.2087550868554775,5.606242825433302,6.125812115097628,5.9220773473596,6.347537715858735,6.042906037173861,5.907223843783031,6.068873399398736,6.0892993193488305,5.88350701874997,6.140923422802296,5.6606163934693186,6.042420986279741,6.026499971263118,8.058376577420589,6.388647365338439,6.140797250212491,5.333715039126405,6.202946412409491,5.912878340158628,6.022351557647044,6.110965257891573,5.430854775915308,5.953076198718986,5.8700863061152475,6.010475483821537,5.809292649778915,6.201242607392441,6.359567350460943,9.308485606498465,6.08659432752412
1,6.24,15.016643800516816,6.405142652864479,7.695489863296647,8.126291479020825,7.3882097924869585,8.029668235965982,7.170247940915267,7.962907894319848,7.624328900857599,8.273048572861281,7.843269242908344,7.613758762885531,7.83354214031001,7.861976936010497,7.5701923742333435,7.9238165344518805,7.24926857936524,7.840507870403884,7.774780552970012,10.603369163285377,8.26980640258988,8.051356679712308,6.775679916688988,8.011064763699588,7.61125288453953,7.788540510134331,7.9199983118519635,6.916679604065048,7.652129751061099,7.5510984803439705,7.749566150487215,7.476215780936562,8.00580330903127,8.228566208094284,12.276463966722128,7.850105163099496
2,6.24,15.016643800516816,6.405142652864479,7.695489863296647,8.126291479020825,7.3882097924869585,8.029668235965982,7.170247940915267,7.962907894319848,7.624328900857599,8.273048572861281,7.843269242908344,7.613758762885531,7.83354214031001,7.861976936010497,7.5701923742333435,7.9238165344518805,7.24926857936524,7.840507870403884,7.774780552970012,10.603369163285377,8.26980640258988,8.051356679712308,6.775679916688988,8.011064763699588,7.61125288453953,7.788540510134331,7.9199983118519635,6.916679604065048,7.652129751061099,7.5510984803439705,7.749566150487215,7.476215780936562,8.00580330903127,8.228566208094284,12.276463966722128,7.850105163099496
3,4.65,10.42114609440398,4.776805423313565,5.308724261678572,5.769007960068367,5.364641837311991,5.758882426487002,5.219841561608346,5.6719413931721405,5.501521081201271,5.871823268834578,5.598110421639461,5.485609334357708,5.63289641635007,5.651343672879479,5.466796519159962,5.700443948159459,5.268125853424444,5.598187756084366,5.594571827547298,7.429613703265761,5.9238904267233785,5.668776685277243,4.977464892905061,5.756234819737822,5.493279923311581,5.585998992914892,5.6640276798543026,5.063768641901844,5.533310026963877,5.45477741601168,5.580817789704135,5.3974645820811435,5.755409963458142,5.897814691516236,8.575220364560854,5.650903415205499
4,4.21,9.149436037366463,4.326196378657966,4.64823566752011,5.116677929666428,4.804660767955395,5.130488869146905,4.680106462932216,5.037963241911138,4.914077407837254,5.207333247594482,4.976808609464423,4.896687479922335,5.023912693996374,5.0395961032080026,4.884724710208838,5.085171031198033,4.7198850990760475,4.977671498033681,4.9912436268013884,6.551341752065361,5.274706131515037,5.009446372351816,4.479845641040327,5.13225672203771,4.907174198191898,4.976490648527122,5.039733920056206,4.5510134070893855,4.946969977528167,4.874663410787649,4.9806610106195075,4.822212677995367,5.132659603676898,5.25282685045061,7.550976852013078,5.042319283712819
5,3.770000000000001,7.877725980328949,3.875587334002368,3.98774707336165,4.4643478992644905,4.244679698598802,4.502095311806811,4.140371364256088,4.403985090650138,4.32663373447324,4.542843226354389,4.355506797289387,4.307765625486963,4.414928971642681,4.427848533536526,4.302652901257714,4.46989811423661,4.171644344727651,4.357155239982998,4.387915426055481,5.6730698008649645,4.6255218363066986,4.35011605942639,3.982226389175594,4.508278624337599,4.321068473072215,4.366982304139354,4.415440160258112,4.038258172276927,4.360629928092459,4.29454940556362,4.380504231534882,4.246960773909592,4.509909243895656,4.607839009384987,6.526733339465304,4.433735152220141
6,3.33,6.606015923291431,3.424978289346768,3.327258479203189,3.8120178688625517,3.684698629242205,3.873701754466715,3.6006362655799578,3.7700069393891362,3.7391900611092233,3.8783532051142937,3.7342049851143484,3.7188437710515903,3.8059452492889854,3.8161009638650487,3.7205810923065883,3.854625197275184,3.6234035903792545,3.7366389819323125,3.784587225309572,4.7947978496645645,3.9763375410983572,3.6907857465009632,3.4846071373108587,3.884300526637487,3.7349627479525296,3.7574739597515836,3.791146400460016,3.525502937464467,3.7742898786567483,3.7144354003395885,3.7803474524502554,3.6717088698238145,3.8871588841144127,3.9628511683193617,5.502489826917527,3.8251510207274615
7,2.89,5.334305866253916,2.97436924469117,2.666769885044728,3.159687838460613,3.1247175598856103,3.24530819712662,3.060901166903829,3.1360287881281352,3.1517463877452077,3.2138631838741993,3.112903172939311,3.129921916616218,3.196961526935291,3.2043533941935722,3.1385092833554644,3.23935228031376,3.0751628360308585,3.116122723881628,3.1812590245636634,3.916525898464167,3.3271532458900177,3.0314554335755366,2.986987885446124,3.2603224289373762,3.1488570228328454,3.1479656153638143,3.1668526406619213,3.0127477026520086,3.187949829221039,3.134321395115559,3.1801906733656287,3.0964569657380387,3.2644085243331697,3.3178633272537383,4.478246314369754,3.2165668892347825
8,2.93,5.449915871439145,3.015333703296224,2.7268143026954976,3.218990568497153,3.1756249298271184,3.3024348841575377,3.1099679940562037,3.193663165515499,3.205150358051027,3.2742713676232986,3.1693851558643145,3.1834602670194334,3.2523236835128992,3.2599668096182515,3.191424902351021,3.2952861818557073,3.1250029046079852,3.1725332927953263,3.2361070428132916,3.996368803118749,3.3861699999998667,3.091394552932394,3.032225999252009,3.3170477105464773,3.2021393614800897,3.203375464853612,3.223606618825385,3.0593618149076867,3.2412534700788305,3.1870590319541066,3.2347503805551407,3.1487525933822003,3.3210221934041915,3.376498585532431,4.571359360965005,3.2718927193704808
9,3.16,6.114673401254211,3.250879340275287,3.07206970418742,3.559981266207257,3.4683423069907935,3.6309133345853146,3.3921022501823623,3.52506083549284,3.5122231873094902,3.621618424180621,3.494156557683084,3.491305781837924,3.5706560838341486,3.57974394831016,3.495689711575473,3.616906115721907,3.411583298926465,3.4968940640490933,3.5514831477486526,4.455465504882595,3.725516336131499,3.4360444892343214,3.2923451536358477,3.6432180797988076,3.5085128087017425,3.5219820994199456,3.5499419932652976,3.3273929603778356,3.547749405011133,3.4903004437757588,3.548468696894832,3.4494524523361285,3.6465507905625683,3.713651320634917,5.106759378887707,3.5900162426507443
