,Type
238,NG (Natural Gas)
239,DFO (Distillate Fuel Oil)
240,WAT (Water)
241,DFO (Distillate Fuel Oil)
242,DFO (Distillate Fuel Oil)
243,NG (Natural Gas)
244,NG (Natural Gas)
245,DFO (Distillate Fuel Oil)
246,DFO (Distillate Fuel Oil)
247,NG (Natural Gas)
248,DFO (Distillate Fuel Oil)
249,BIT (Bituminous Coal)
250,NG (Natural Gas)
251,DFO (Distillate Fuel Oil)
252,BIT (Bituminous Coal)
253,DFO (Distillate Fuel Oil)
254,BIT (Bituminous Coal)
255,BIT (Bituminous Coal)
256,SUN (Solar)
257,SUN (Solar)
258,SUN (Solar)
259,BIT (Bituminous Coal)
260,SUN (Solar)
261,BIT (Bituminous Coal)
262,WAT (Water)
263,SUN (Solar)
264,NG (Natural Gas)
265,NG (Natural Gas)
266,NG (Natural Gas)
267,WAT (Water)
268,BIT (Bituminous Coal)
269,NG (Natural Gas)
270,BIT (Bituminous Coal)
271,BIT (Bituminous Coal)
272,WAT (Water)
273,WAT (Water)
274,BIT (Bituminous Coal)
275,WAT (Water)
276,DFO (Distillate Fuel Oil)
277,BIT (Bituminous Coal)
278,WAT (Water)
279,BIT (Bituminous Coal)
280,BIT (Bituminous Coal)
281,BIT (Bituminous Coal)
282,BIT (Bituminous Coal)
283,BIT (Bituminous Coal)
284,BIT (Bituminous Coal)
285,WAT (Water)
286,WND (Wind)
287,BIT (Bituminous Coal)
288,BIT (Bituminous Coal)
289,WND (Wind)
290,WAT (Water)
291,WND (Wind)
292,NG (Natural Gas)
293,NG (Natural Gas)
294,NG (Natural Gas)
295,DFO (Distillate Fuel Oil)
296,WAT (Water)
297,BIT (Bituminous Coal)
298,NG (Natural Gas)
299,WAT (Water)
300,DFO (Distillate Fuel Oil)
301,BIT (Bituminous Coal)
302,DFO (Distillate Fuel Oil)
303,BIT (Bituminous Coal)
304,NG (Natural Gas)
305,SUN (Solar)
306,NG (Natural Gas)
307,NG (Natural Gas)
308,DFO (Distillate Fuel Oil)
309,NG (Natural Gas)
310,DFO (Distillate Fuel Oil)
311,NG (Natural Gas)
312,DFO (Distillate Fuel Oil)
313,BIT (Bituminous Coal)
314,WAT (Water)
315,BIT (Bituminous Coal)
316,DFO (Distillate Fuel Oil)
317,BIT (Bituminous Coal)
318,BIT (Bituminous Coal)
319,DFO (Distillate Fuel Oil)
320,DFO (Distillate Fuel Oil)
321,NG (Natural Gas)
322,NG (Natural Gas)
323,BIT (Bituminous Coal)
324,SUN (Solar)
325,SUN (Solar)
326,WND (Wind)
327,DFO (Distillate Fuel Oil)
328,NG (Natural Gas)
329,DFO (Distillate Fuel Oil)
330,DFO (Distillate Fuel Oil)
331,DFO (Distillate Fuel Oil)
332,NG (Natural Gas)
