Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Gas_50_100,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Nuclear_800_1000,Nuclear_ovr_1000,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_600_800,Gas_800_1000,Gas_ovr_1000,Nuclear_below_50,Nuclear_50_100,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_600_800,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200
1,3131.3549385787896,3759.91960328,2797.44260952885,9085.536473689801,1781.3266099480502,10383.697591296499,5260.1436185289,10.369315928599999,547.25861193164,742.00041823704,5300.4962252121,41.0,2271.88907692544,8127.07618757196,121.05334204020001,888.9,2024.8237228170497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3328.2512491511498,3771.00993326,3133.1726095288504,9683.7795320604,2039.5292643363,10748.533482683799,5332.3402009749,10.369315928599999,547.25861193164,742.00041823704,5758.79487382815,41.0,2271.88907692544,8128.88113651116,121.05334204020001,888.9,2024.8237228170497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3172.0812491511497,3311.00993326,3121.1464604505,9609.203646701251,1826.6792643363,10092.9024403425,5324.4066173619,10.369315928599999,547.25861193164,742.00041823704,5808.099111170401,28.699999999999996,2271.88907692544,8091.804772939679,118.3533420402,888.9,2024.8237228170497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3172.0812491511497,3311.00993326,3121.1464604505,9691.1268317232,1846.950692928,10428.2898145745,4363.3100349159,10.369315928599999,547.25861193164,742.00041823704,5808.099111170401,28.699999999999996,1803.37907692544,7759.34326167324,118.3533420402,888.9,2024.8237228170497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3172.0812491511497,3311.00993326,3121.1464604505,9458.105248967251,1846.950692928,9760.389814574499,4363.3100349159,10.369315928599999,547.25861193164,742.00041823704,5808.099111170401,28.699999999999996,1803.37907692544,8065.22326167324,118.3533420402,888.9,2024.8237228170497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3172.0812491511497,3311.00993326,3121.1464604505,9376.1820639453,1826.6792643363,9569.4826665238,4363.3100349159,10.369315928599999,547.25861193164,742.00041823704,6020.9491111704,28.699999999999996,1959.5490769254397,8065.22326167324,115.6533420402,888.9,2024.8237228170497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3172.0812491511497,3311.00993326,3121.1464604505,9862.0320639453,1826.6792643363,9569.4826665238,3053.3169668739,10.369315928599999,547.25861193164,742.00041823704,6020.9491111704,28.699999999999996,1959.5490769254397,7908.89617473972,115.6533420402,888.9,2024.8237228170497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3172.0812491511497,3311.00993326,3121.1464604505,9563.19193665075,1861.5911690937,9569.4826665238,3722.1737754795,10.369315928599999,547.25861193164,742.00041823704,6020.9491111704,28.699999999999996,2115.71907692544,8450.093728473119,115.6533420402,888.9,2024.8237228170497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3172.0812491511497,3311.00993326,3121.1464604505,9563.19193665075,1861.5911690937,9569.4826665238,3722.1737754795,10.369315928599999,547.25861193164,742.00041823704,6091.8991111704,32.8,1959.5490769254397,8450.093728473119,115.6533420402,888.9,2024.8237228170497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3328.2512491511498,3311.00993326,3121.1464604505,9563.19193665075,1861.5911690937,10237.3826665238,3748.556651928,10.369315928599999,547.25861193164,742.00041823704,6020.9491111704,36.9,1959.5490769254397,8299.24879694532,115.6533420402,888.9,2362.9547719143497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
