Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Gas_50_100,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Nuclear_800_1000,Nuclear_ovr_1000,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_600_800,Gas_800_1000,Gas_ovr_1000,Nuclear_below_50,Nuclear_50_100,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_600_800,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200
1,2984.1464007722498,2285.26925049,3206.5177494949203,8160.16529852115,1632.06906131775,13322.8533347366,7112.6194692987,18.421917808499998,579.9561133288299,1377.0986804988,5958.4185857625,27.017948718999996,1276.4842630756998,8278.85336058744,129.6624375,416.51541704429985,2746.4350383483993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3173.17456580502,2325.85748573,3268.65285401763,8169.2894434596,1703.0190613177501,14020.2839034069,7112.6194692987,18.421917808499998,579.9561133288299,1377.0986804988,6313.168585762501,27.017948718999996,1276.4842630756998,8763.605083934639,132.3624375,476.91632315729987,2746.4350383483993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3173.17456580502,2325.85748573,2928.2075449685103,7666.9275037467005,1561.11906131775,13841.5091702105,7112.6194692987,16.4,579.9561133288299,1377.0986804988,6220.1337996171005,22.917948718999998,1262.5111578454198,8657.51743195272,129.6219375,476.91632315729987,2746.4350383483993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3173.17456580502,2325.85748573,2928.2075449685103,7666.9275037467005,1561.11906131775,13841.5091702105,7112.6194692987,16.4,579.9561133288299,1377.0986804988,6220.1337996171005,22.917948718999998,1262.5111578454198,9249.183863672759,129.6219375,476.91632315729987,2746.4350383483993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3173.17456580502,2325.85748573,2928.2075449685103,7666.9275037467005,1561.11906131775,13620.2607217387,7112.6194692987,16.4,579.9561133288299,1377.0986804988,6220.1337996171005,22.917948718999998,1262.5111578454198,8025.663863672759,129.6219375,476.91632315729987,2746.4350383483993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3173.17456580502,2325.85748573,2778.5190098062203,7666.9275037467005,1561.11906131775,12814.5400870513,7270.1873179833,16.4,579.9561133288299,1377.0986804988,6220.1337996171005,22.917948718999998,1262.5111578454198,8025.663863672759,129.6219375,476.91632315729987,2746.4350383483993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3173.17456580502,2325.85748573,2797.1706766221,7389.92705106675,1561.11906131775,12336.692932226799,7270.1873179833,16.4,579.9561133288299,1377.0986804988,6220.1337996171005,22.917948718999998,1262.5111578454198,7864.381681938,126.92193750000001,476.91632315729987,2746.4350383483993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3173.17456580502,2325.85748573,2823.3995828721,7685.1270512082,1561.11906131775,12336.692932226799,7270.1873179833,16.4,579.9561133288299,1202.3101092013198,6220.1337996171005,22.917948718999998,1731.0211578454198,8476.141681938,126.92193750000001,476.91632315729987,2746.4350383483993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3173.17456580502,2325.85748573,2823.3995828721,7685.1270512082,1561.11906131775,12336.692932226799,7270.1873179833,16.4,579.9561133288299,1202.3101092013198,6220.1337996171005,31.117948718999997,1731.0211578454198,8517.77979698352,126.92193750000001,476.91632315729987,2746.4350383483993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3173.17456580502,2325.85748573,2823.3995828721,7685.1270512082,1561.11906131775,12336.692932226799,7270.1873179833,17.2453454538,579.9561133288299,1202.3101092013198,6220.1337996171005,31.117948718999997,1731.0211578454198,8517.77979698352,126.92193750000001,476.91632315729987,2746.4350383483993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
