Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Gas_50_100,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Nuclear_800_1000,Nuclear_ovr_1000,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_600_800,Gas_800_1000,Gas_ovr_1000,Nuclear_below_50,Nuclear_50_100,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_600_800,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200
1,5287.386641116789,3190.94688668,2110.42624439265,8510.18210761695,1282.9091741433,5722.5527018947,2702.5602686921998,23.807285331899998,156.17,334.08170226216,4425.6996496251,43.05,2306.47294419605,4864.03044912864,107.0254937466,961.4907082614001,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5293.535066354219,3211.6987664,2121.7429859091003,8679.3849501042,1566.7091741433,5723.728205894699,2702.5602686921998,23.807285331899998,156.17,505.95713086271996,5206.1496496251,43.05,2306.47294419605,4972.4788125981595,107.0254937466,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5189.38269468542,3008.75758997,2121.7429859091003,9156.43686153,1510.5122693859,5723.728205894699,2702.5602686921998,19.7072853319,156.17,505.95713086271996,5135.1996496251,47.15,2306.47294419605,4971.463982286959,106.91528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5189.38269468542,3008.75758997,2121.7429859091003,9156.43686153,1510.5122693859,5723.728205894699,2702.5602686921998,19.7072853319,156.17,505.95713086271996,5135.1996496251,47.15,2150.30294419605,4971.463982286959,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5189.38269468542,3008.75758997,2121.7429859091003,9156.43686153,1510.5122693859,5055.8282058947,2702.5602686921998,19.7072853319,156.17,505.95713086271996,5135.1996496251,47.15,2150.30294419605,4971.463982286959,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5189.38269468542,3008.75758997,2121.7429859091003,9156.43686153,1495.7591741433,5055.8282058947,2702.5602686921998,19.7072853319,156.17,505.95713086271996,5135.1996496251,47.15,2150.30294419605,4971.463982286959,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5189.38269468542,3008.75758997,2121.7429859091003,9156.43686153,1453.14557969625,5055.8282058947,2702.5602686921998,19.7072853319,156.17,505.95713086271996,5135.1996496251,43.05,2150.30294419605,4971.463982286959,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5189.38269468542,3008.75758997,2121.7429859091003,9156.43686153,1453.14557969625,5055.8282058947,2702.5602686921998,19.7072853319,156.17,505.95713086271996,5348.0496496251,43.05,2150.30294419605,5277.3439822869595,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5189.38269468542,3008.75758997,2121.7429859091003,9156.43686153,1467.22296061935,5055.8282058947,2702.5602686921998,19.7072853319,156.17,505.95713086271996,5348.0496496251,43.05,2306.47294419605,5440.6992727569595,104.21528966640001,1028.4626262888,173.84443240569993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5189.38269468542,3008.75758997,2121.7429859091003,9156.43686153,1486.36819872585,5055.8282058947,2702.5602686921998,19.7072853319,156.17,505.95713086271996,5353.9011961017,43.05,2306.47294419605,5454.95312659344,104.21528966640001,1028.4626262888,173.84443240569993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5189.38269468542,3008.75758997,2121.7429859091003,9156.43686153,1486.36819872585,5055.8282058947,2702.5602686921998,19.7072853319,156.17,505.95713086271996,5353.9011961017,43.05,2356.90284008144,5454.95312659344,104.21528966640001,1028.4626262888,173.84443240569993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5033.21269468542,3008.75758997,2121.7429859091003,9156.43686153,1453.14557969625,5723.728205894699,3591.4602686922,19.7072853319,156.17,505.95713086271996,5141.0511961017,43.05,2356.90284008144,5459.961237433919,104.21528966640001,1028.4626262888,173.84443240569993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5033.21269468542,3008.75758997,2121.7429859091003,8670.58686153,1453.14557969625,5723.728205894699,3591.4602686922,19.7072853319,156.17,505.95713086271996,5141.0511961017,43.05,2356.90284008144,5313.94171554024,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5033.21269468542,3008.75758997,2121.7429859091003,8670.58686153,1453.14557969625,5723.728205894699,3591.4602686922,19.7072853319,156.17,505.95713086271996,5141.0511961017,43.05,2200.73284008144,4893.9273872916,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5033.21269468542,3238.75758997,2121.7429859091003,8670.58686153,1453.14557969625,5723.728205894699,3591.4602686922,19.7072853319,156.17,505.95713086271996,4928.201196101701,43.05,2200.73284008144,4588.0473872916,106.91528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5033.21269468542,3238.75758997,2121.7429859091003,8670.58686153,1453.14557969625,5723.728205894699,3591.4602686922,19.7072853319,156.17,505.95713086271996,4928.201196101701,43.05,2200.73284008144,4573.2156744414,106.91528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5033.21269468542,3078.48993895,2121.7429859091003,8670.58686153,1453.14557969625,5723.728205894699,3591.4602686922,19.7072853319,156.17,505.95713086271996,4928.201196101701,43.05,1732.22284008144,3822.19166926416,106.91528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5033.21269468542,3078.48993895,2121.7429859091003,8207.66263292805,1453.14557969625,5778.7317351885995,3591.4602686922,19.7072853319,156.17,505.95713086271996,5141.0511961017,43.05,1732.22284008144,3851.27723595084,106.91528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5033.21269468542,2848.48993895,2121.7429859091003,7940.445132928051,1424.2587939921,5778.7317351885995,3591.4602686922,19.7072853319,156.17,505.95713086271996,5141.0511961017,43.05,1732.22284008144,3545.39723595084,106.91528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5033.21269468542,2848.48993895,2121.7429859091003,7940.445132928051,1424.2587939921,5723.728205894699,3591.4602686922,19.7072853319,156.17,505.95713086271996,5141.0511961017,43.05,1732.22284008144,3699.12154377648,106.91528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,5033.21269468542,3078.48993895,2121.7429859091003,7940.445132928051,1443.4040320986,5723.728205894699,3591.4602686922,19.7072853319,156.17,505.95713086271996,5141.0511961017,43.05,1732.22284008144,3923.71605260724,106.91528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5065.3762780261895,3078.48993895,2121.7429859091003,7940.445132928051,1487.1309368388002,5723.728205894699,3591.4602686922,19.7072853319,156.17,505.95713086271996,5141.0511961017,43.05,1732.22284008144,4197.06810658884,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5065.3762780261895,3078.48993895,2121.7429859091003,7940.445132928051,1487.1309368388002,5610.5271706947,3591.4602686922,19.7072853319,156.17,505.95713086271996,5141.0511961017,43.05,1732.22284008144,4197.06810658884,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5065.3762780261895,3078.48993895,2217.66584314788,7940.445132928051,1452.6695082471,5610.5271706947,3591.4602686922,19.7072853319,156.17,505.95713086271996,5141.0511961017,43.05,2356.90284008144,4665.763813421279,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5065.3762780261895,3308.48993895,2217.66584314788,7940.445132928051,1458.362813094,5610.5271706947,4480.3602686921995,19.7072853319,156.17,505.95713086271996,5212.0011961017,43.05,2356.90284008144,4509.93815312472,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5065.3762780261895,3308.48993895,2292.82927597869,8067.9807579280505,1458.362813094,5502.4128618947,4480.3602686921995,15.607285331899998,156.17,505.95713086271996,5212.0011961017,43.05,2356.90284008144,4509.93815312472,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5065.3762780261895,3238.75758997,2292.82927597869,7582.13075792805,1458.362813094,5502.4128618947,4480.3602686921995,15.607285331899998,156.17,505.95713086271996,5212.0011961017,43.05,2044.5628400814398,4509.93815312472,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,5065.3762780261895,3238.75758997,2292.82927597869,7582.13075792805,1474.2420988218,5502.4128618947,4480.3602686921995,15.607285331899998,156.17,505.95713086271996,5282.951196101701,43.05,2044.5628400814398,4204.05815312472,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5065.3762780261895,3238.75758997,2292.82927597869,7582.13075792805,1474.2420988218,5859.1793217336,5369.2602686922,15.607285331899998,156.17,505.95713086271996,5282.951196101701,43.05,2044.5628400814398,4204.05815312472,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5065.3762780261895,3581.50268791,2225.53455799632,7887.9977813859,1523.991563094,5859.1793217336,5369.2602686922,15.607285331899998,156.17,505.95713086271996,5353.9011961017,43.05,2200.73284008144,4204.05815312472,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5065.3762780261895,3597.32530101,2225.53455799632,7918.63697054445,1523.991563094,6032.3786735209,5369.2602686922,15.607285331899998,156.17,505.95713086271996,5566.7511961017,43.05,2200.73284008144,4204.05815312472,104.21528966640001,1028.4626262888,171.9391419635499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
